say,	VBZ,	says,	express in words;report or maintain;express a supposition;have or contain a certain wording or form;give instructions to or direct somebody to do something with authority;speak, pronounce, or utter in a certain way;communicate or express nonverbally;utter aloud;state as one's opinion or judgement; declare;recite or repeat a fixed text;indicate, 'he says oh no I'm hurt .'
say,	VBG,	saying,	express in words;report or maintain;express a supposition;have or contain a certain wording or form;give instructions to or direct somebody to do something with authority;speak, pronounce, or utter in a certain way;communicate or express nonverbally;utter aloud;state as one's opinion or judgement; declare;recite or repeat a fixed text;indicate, 'what are you saying ?'
say,	VB,	say,	express in words;report or maintain;express a supposition;have or contain a certain wording or form;give instructions to or direct somebody to do something with authority;speak, pronounce, or utter in a certain way;communicate or express nonverbally;utter aloud;state as one's opinion or judgement; declare, 'it's something else that I can't say .'
hurt,	JJ,	hurt,	suffering from physical injury especially that suffered in battle;damaged; used of inanimate objects or their value, 'he complained of a hurt leg and asked his trainer to stop the fight'
hurt,	VBD,	hurt,	be the source of pain;give trouble or pain to;cause emotional anguish or make miserable;cause damage or affect negatively;hurt the feelings of;feel physical pain;feel pain or be in pain, 'Bunch of people can't hurt my feelings'
hurt,	VB,	hurt,	be the source of pain;give trouble or pain to;cause emotional anguish or make miserable;cause damage or affect negatively;hurt the feelings of;feel physical pain;feel pain or be in pain, 'You can't hurt me'
hurt,	VBP,	hurt,	be the source of pain;give trouble or pain to;cause emotional anguish or make miserable;cause damage or affect negatively;hurt the feelings of;feel physical pain;feel pain or be in pain, 'They hurt him with their behavior'
hurt,	VBN,	hurt,	be the source of pain;give trouble or pain to;cause emotional anguish or make miserable;cause damage or affect negatively;hurt the feelings of;feel physical pain;feel pain or be in pain, 'she didn't want to hurt his feelings'
hurt,	VBG,	hurting,	be the source of pain;give trouble or pain to;cause emotional anguish or make miserable;cause damage or affect negatively;hurt the feelings of;feel physical pain;feel pain or be in pain, 'Ow! You're hurting me!'
fall,	VBD,	fell,	descend in free fall under the influence of gravity;move downward and lower, but not necessarily all the way;pass suddenly and passively into a state of body or mind;come under, be classified or included;fall from clouds;suffer defeat, failure, or ruin;die, as in battle or in a hunt;touch or seem as if touching visually or audibly;be captured;occur at a specified time or place;decrease in size, extent, or range;;come as if by falling, '	farmer brown , you fell out_of the tractor .'
fall,	VB,	fall,	descend in free fall under the influence of gravity;move downward and lower, but not necessarily all the way;pass suddenly and passively into a state of body or mind;come under, be classified or included;fall from clouds;suffer defeat, failure, or ruin;die, as in battle or in a hunt;touch or seem as if touching visually or audibly;be captured;occur at a specified time or place;decrease in size, extent, or range;yiel;come as if by falling, 'your tower didn't fall down .'
fall,	VBZ,	falls,	descend in free fall under the influence of gravity;move downward and lower, but not necessarily all the way;pass suddenly and passively into a state of body or mind;come under, be classified or included;fall from clouds;suffer defeat, failure, or ruin;die, as in battle or in a hunt;touch or seem as if touching visually or audibly;be captured;occur at a specified time or place;decrease in size, extent, or range;;come as if by falling, 'if you open things like this , it all falls out , and then you don't have any bubbles .'
sure,	RB,	sure,	definitely or positively (`sure' is sometimes used informally for `surely', 'Texas sure was a great place to grow up'
sure,	JJ,	sure,	having or feeling no doubt or uncertainty; confident and assured;or certain;exercising or taking care great enough to bring assurance;certain to occur; destined or inevitable;physically secure or dependable;reliable in operation or effect;(of persons;or trusted;infallible or unfailing;or true;certain not to fail;impossible to doubt or dispute, "I'm sure I've seen that dress before"
back,	RB,	back,	in or to or toward a former location;at or to or toward the back or rear;in or to or toward an original condition;in or to or toward a past time;in reply;in repayment or retaliation, 'she put the book back on the shelf'
back,	NN,	back,	the posterior part of a human (or animal;the side that goes last or is not normally seen;the part of something that is furthest from the normal viewer;(football;the series of vertebrae forming the axis of the skeleton and protecting the spinal cord;the protective covering on the front, back, and spine of a book;the part of a garment that covers the back of your body;a support that you can lean against while sitting, 'write on the back of a postcard'
back,	VB,	back,	be behind; approve of;travel backward;give support or one's approval to;cause to travel backward;support financial backing for;be in back of;place a bet on;shift to a counterclockwise direction;establish as valid or genuine;strengthen by providing with a back or backing, 'she tried to back away'
house,	NN,	house,	a dwelling that serves as living quarters for one or more families;the members of a business organization that owns or operates one or more establishments;the members of a religious community living together;the audience gathered together in a theatre or cinema;an official assembly having legislative powers;aristocratic family line;play in which children take the roles of father or mother or children and pretend to interact like adults;(astrology;the management of a gambling house or casino;a social unit living together;a building where theatrical performances or motion-picture shows can be presented;a building in which something is sheltered or located, 'it's gone , but I went to my new house but I saw some water when I drove in my yellow car .'
house,	VB,	house,	contain or cover;provide housing for,  'the museum houses a collection of Roman sculpture'
moo,	VB,	moo,	make a low noise, 'this just makes a cow moo '
